link,Data-Name,data type,default task,attribute-type,instances,attributes,year
https://archive.ics.uci.edu/ml/datasets/Spoken+Arabic+Digit,Spoken Arabic Digit,"Multivariate, Time-Series",Classification,Real,8800,13,2010
https://archive.ics.uci.edu/ml/datasets/Localization+Data+for+Person+Activity,Localization Data for Person Activity,"Univariate, Sequential, Time-Series",Classification,Real,164860,8,2010
https://archive.ics.uci.edu/ml/datasets/AutoUniv,AutoUniv,Multivariate,Classification,"Categorical, Integer, Real",,,2010
https://archive.ics.uci.edu/ml/datasets/Steel+Plates+Faults,Steel Plates Faults,Multivariate,Classification,"Integer, Real",1941,27,2010
https://archive.ics.uci.edu/ml/datasets/MiniBooNE+particle+identification,MiniBooNE particle identification,Multivariate,Classification,Real,130065,50,2010
https://archive.ics.uci.edu/ml/datasets/YearPredictionMSD,YearPredictionMSD,Multivariate,Regression,Real,515345,90,2011
https://archive.ics.uci.edu/ml/datasets/PEMS-SF,PEMS-SF,"Multivariate, Time-Series",Classification,Real,440,138672,2011
https://archive.ics.uci.edu/ml/datasets/OpinRank+Review+Dataset,OpinRank Review Dataset,Text,,,,,2011
https://archive.ics.uci.edu/ml/datasets/Relative+location+of+CT+slices+on+axial+axis,Relative location of CT slices on axial axis,Domain-Theory,Regression,Real,53500,386,2011
https://archive.ics.uci.edu/ml/datasets/Online+Handwritten+Assamese+Characters+Dataset,Online Handwritten Assamese Characters Dataset,"Multivariate, Sequential",Classification,Integer,8235,2011,
https://archive.ics.uci.edu/ml/datasets/PubChem+Bioassay+Data,PubChem Bioassay Data,Multivariate,Classification,"Integer, Real",2011,,
https://archive.ics.uci.edu/ml/datasets/Record+Linkage+Comparison+Patterns,Record Linkage Comparison Patterns,Multivariate,Classification,Real,5749132,12,2011
https://archive.ics.uci.edu/ml/datasets/Communities+and+Crime+Unnormalized,Communities and Crime Unnormalized,Multivariate,Regression,Real,2215,147,2011
https://archive.ics.uci.edu/ml/datasets/Vertebral+Column,Vertebral Column,Multivariate,Classification,Real,310,6,2011
https://archive.ics.uci.edu/ml/datasets/EMG+Physical+Action+Data+Set,EMG Physical Action Data Set,Time-Series,Classification,Real,10000,8,2011
https://archive.ics.uci.edu/ml/datasets/Vicon+Physical+Action+Data+Set,Vicon Physical Action Data Set,Time-Series,Classification,Real,3000,27,2011
https://archive.ics.uci.edu/ml/datasets/Amazon+Commerce+reviews+set,Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory",Classification,Real,1500,10000,2011
